-59,-70,-66,-74,-66,1
-63,-62,-62,-71,-66,1
-59,-63,-59,-68,-69,1
-59,-63,-66,-69,-75,1
-59,-62,-59,-68,-69,1
-59,-78,-59,-68,-66,1
-59,-63,-66,-74,-75,1
-63,-78,-60,-68,-66,1
-59,-63,-66,-74,-69,1
-62,-61,-60,-69,-66,1
-59,-62,-62,-71,-72,1
-64,-63,-66,-68,-74,1
-59,-62,-61,-74,-66,1
-59,-63,-59,-68,-74,1
-59,-78,-60,-68,-69,1
-63,-63,-66,-75,-75,1
-63,-69,-61,-69,-72,1
-59,-77,-61,-75,-69,1
-63,-63,-59,-69,-75,1
-59,-62,-60,-68,-69,1
-63,-63,-66,-69,-75,1
-59,-62,-59,-72,-66,1
-64,-63,-66,-68,-69,1
-63,-62,-59,-75,-66,1
-59,-62,-66,-69,-67,1
-61,-62,-61,-69,-69,1
-59,-76,-66,-68,-66,1
-59,-62,-60,-68,-66,1
-59,-69,-63,-72,-66,1
-61,-69,-63,-70,-66,1
-59,-77,-62,-75,-66,1
-59,-63,-65,-69,-74,1
-59,-76,-59,-68,-66,1
-61,-62,-59,-68,-70,1
-63,-62,-60,-69,-74,1
-58,-70,-63,-68,-67,1
-60,-63,-66,-68,-75,1
-59,-77,-60,-68,-69,1
-60,-63,-61,-68,-70,1
-59,-63,-61,-70,-66,1
-59,-74,-59,-68,-68,1
-59,-62,-59,-72,-67,1
-65,-75,-66,-69,-74,1
-59,-63,-59,-75,-68,1
-59,-62,-59,-71,-70,1
-61,-70,-67,-70,-65,1
-65,-78,-61,-70,-69,1
-59,-62,-67,-73,-66,1
-58,-76,-59,-68,-69,1
-59,-62,-61,-68,-75,1
-59,-77,-59,-68,-68,1
-62,-62,-67,-68,-66,1
-59,-62,-62,-70,-69,1
-65,-76,-59,-67,-75,1
-65,-62,-67,-73,-69,1
-59,-62,-59,-68,-75,1
-59,-77,-59,-72,-69,1
-61,-62,-59,-68,-65,1
-57,-63,-61,-68,-66,1
-59,-62,-59,-67,-69,1
-58,-62,-60,-72,-75,1
-65,-77,-67,-67,-66,1
-59,-62,-60,-68,-69,1
-59,-67,-61,-70,-70,1
-59,-63,-61,-68,-66,1
-65,-62,-59,-67,-69,1
-59,-75,-61,-68,-66,1
-65,-62,-59,-72,-69,1
-59,-62,-67,-68,-66,1
-59,-78,-59,-67,-69,1
-59,-70,-64,-68,-67,1
-59,-62,-67,-74,-75,1
-59,-75,-60,-67,-69,1
-59,-63,-67,-74,-75,1
-59,-75,-59,-67,-69,1
-59,-62,-60,-74,-75,1
-59,-75,-59,-67,-66,1
-59,-62,-60,-73,-66,1
-62,-62,-63,-67,-66,1
-59,-75,-67,-73,-75,1
-66,-62,-58,-67,-66,1
-62,-68,-59,-71,-70,1
-59,-63,-67,-67,-65,1
-66,-77,-60,-73,-69,1
-59,-62,-67,-68,-75,1
-66,-75,-59,-73,-69,1
-59,-63,-63,-69,-72,1
-66,-77,-60,-74,-69,1
-59,-62,-59,-67,-66,1
-59,-62,-64,-67,-69,1
-66,-63,-67,-67,-75,1
-59,-68,-61,-73,-75,1
-59,-77,-67,-68,-69,1
-66,-62,-59,-70,-75,1
-66,-62,-63,-70,-67,1
-65,-76,-63,-69,-67,1
-66,-69,-60,-67,-67,1
-62,-69,-62,-67,-72,1
-59,-69,-59,-67,-69,1
-66,-69,-59,-68,-71,1
-62,-62,-59,-73,-69,1
-59,-69,-59,-68,-70,1
-59,-63,-59,-73,-70,1
-59,-62,-67,-67,-65,1
-66,-68,-59,-69,-70,1
-59,-76,-67,-67,-75,1
-59,-62,-59,-73,-69,1
-59,-75,-67,-67,-75,1
-59,-62,-60,-68,-70,1
-59,-62,-60,-67,-66,1
-59,-62,-59,-68,-75,1
-59,-62,-61,-67,-69,1
-66,-62,-59,-67,-75,1
-59,-62,-63,-73,-72,1
-59,-62,-67,-67,-66,1
-59,-62,-61,-67,-69,1
-59,-62,-63,-70,-75,1
-59,-76,-59,-67,-66,1
-59,-63,-59,-70,-66,1
-62,-69,-59,-68,-66,1
-58,-76,-59,-69,-72,1
-59,-62,-60,-68,-69,1
-59,-77,-67,-67,-66,1
-65,-62,-64,-66,-67,1
-59,-76,-59,-73,-75,1
-62,-70,-59,-67,-70,1
-59,-62,-67,-73,-69,1
-59,-62,-58,-73,-75,1
-62,-63,-58,-68,-67,1
-59,-63,-67,-73,-75,1
-59,-70,-59,-67,-75,1
-62,-62,-63,-67,-69,1
-59,-62,-67,-68,-75,1
-65,-70,-67,-67,-75,1
-59,-62,-60,-68,-69,1
-59,-62,-59,-73,-75,1
-66,-62,-67,-68,-69,1
-65,-76,-59,-73,-66,1
-59,-62,-59,-68,-69,1
-59,-70,-59,-67,-71,1
-59,-77,-67,-67,-75,1
-59,-62,-59,-67,-69,1
-59,-69,-60,-73,-72,1
-59,-68,-67,-69,-75,1
-66,-62,-60,-73,-66,1
-59,-69,-61,-68,-66,1
-59,-77,-67,-66,-75,1
-59,-62,-59,-72,-69,1
-59,-78,-67,-67,-75,1
-59,-62,-59,-74,-69,1
-59,-79,-59,-67,-72,1
-65,-62,-67,-73,-75,1
-66,-70,-59,-70,-75,1
-59,-63,-59,-68,-66,1
-58,-62,-67,-74,-75,1
-59,-62,-59,-70,-66,1
-59,-63,-67,-67,-66,1
-59,-62,-59,-68,-75,1
-59,-77,-60,-73,-67,1
-59,-63,-58,-68,-75,1
-58,-77,-59,-67,-66,1
-59,-62,-58,-67,-75,1
-62,-70,-59,-66,-69,1
-59,-71,-67,-73,-68,1
-59,-62,-59,-67,-66,1
-59,-70,-67,-70,-75,1
-59,-63,-67,-73,-69,1
-66,-78,-59,-68,-66,1
-59,-62,-60,-73,-75,1
-61,-62,-62,-73,-71,1
-65,-77,-67,-68,-69,1
-59,-62,-59,-68,-67,1
-59,-77,-60,-67,-75,1
-59,-62,-59,-68,-69,1
-66,-78,-61,-73,-75,1
-59,-62,-59,-66,-66,1
-66,-70,-60,-73,-75,1
-59,-62,-59,-67,-66,1
-66,-77,-67,-68,-69,1
-66,-62,-60,-67,-70,1
-66,-76,-59,-66,-72,1
-59,-63,-67,-68,-68,1
-66,-77,-61,-67,-66,1
-59,-62,-67,-73,-69,1
-59,-77,-59,-66,-66,1
-59,-62,-67,-68,-69,1
-65,-63,-59,-67,-66,1
-59,-63,-63,-67,-66,1
-62,-76,-67,-67,-72,1
-59,-62,-59,-68,-66,1
-59,-77,-67,-73,-69,1
-59,-63,-60,-66,-66,1
-62,-62,-63,-67,-66,1
-59,-66,-62,-67,-66,1
-59,-62,-67,-72,-75,1
-62,-62,-61,-69,-69,1
-59,-62,-67,-67,-75,1
-66,-77,-58,-73,-69,1
-59,-62,-59,-68,-70,1
-62,-69,-59,-67,-75,1
-62,-70,-64,-70,-66,1
-59,-62,-68,-68,-69,1
-59,-63,-61,-67,-66,1
-66,-62,-68,-74,-69,1
-59,-63,-61,-68,-66,1
-66,-75,-67,-75,-69,1
-59,-63,-59,-68,-66,1
-66,-70,-59,-71,-70,1
-59,-76,-59,-67,-69,1
-59,-62,-59,-67,-70,1
-62,-63,-59,-71,-69,1
-59,-63,-60,-73,-66,1
