Indices,Accuracy
[4 5 6 6 1],0.827935354059843
[6 4 6 3 1],0.827933325761018
[6 4 6 1 3],0.827932920101253
[4 6 6 6 1],0.827932514441488
[6 4 3 6 2],0.827931297462193
[6 4 6 6 4],0.827930891802427
[4 1 6 1 6],0.827730901538262
[6 1 1 3 4],0.827729684558967
[4 5 6 6 5],0.827536184851042
[4 1 2 4 6],0.827533345232686
[6 6 2 6 1],0.827529288635036
[4 1 3 2 1],0.827331732329461
[4 1 2 1 3],0.82732848705134
[5 1 6 6 1],0.827132553384825
[6 4 6 6 2],0.827129308106704
[4 6 2 3 1],0.827125657168819
[6 6 3 6 2],0.827125251509054
[4 1 2 6 2],0.826930129162069
[6 4 4 1 2],0.826926478224184
[4 1 4 6 6],0.826924855585124
[4 6 3 3 1],0.826923638605829
[6 5 4 1 6],0.826923232946064
[6 5 3 3 6],0.826727299279548
[4 1 6 4 1],0.826726893619783
[4 1 4 6 5],0.826726893619783
[6 3 3 1 1],0.826725270980723
[6 1 2 5 6],0.826724865320958
[6 3 3 1 4],0.826720808723307
[6 3 3 4 1],0.826718780424482
[6 4 6 4 5],0.826529337314208
[6 1 2 5 5],0.826526903355618
[4 4 2 4 1],0.826524063737262
[6 4 3 1 2],0.826524063737262
[4 6 1 3 6],0.826522846757967
[4 1 5 6 1],0.826522035438437
[6 6 3 4 2],0.826520818459142
[6 3 3 1 6],0.826520007139612
[6 1 3 2 4],0.826327724410982
[6 1 2 2 1],0.826324073473097
[6 5 4 1 5],0.826323667813332
[5 5 2 6 1],0.826322450834036
[6 6 4 6 2],0.826319611215681
[4 6 6 1 5],0.826126517167521
[6 4 3 3 3],0.826120432271046
[6 2 2 3 5],0.82612002661128
[4 1 6 4 6],0.826119620951516
[4 6 1 3 1],0.826116375673395
[6 6 1 4 1],0.8261151586941
[4 1 3 3 6],0.82592206464594
[5 1 4 6 1],0.82592044200688
[6 3 2 3 3],0.82592044200688
[4 1 6 3 4],0.825915979749465
[4 5 3 6 1],0.82572329136107
[4 1 6 6 3],0.825718423443889
[6 1 3 2 3],0.825718423443889
[6 5 1 6 5],0.825521678457844
[6 1 3 2 6],0.825520867138314
[6 3 2 1 5],0.825519650159019
[6 6 4 1 5],0.825517621860193
[6 5 6 3 4],0.825517621860193
[4 1 4 1 1],0.825516404880898
[4 5 2 3 4],0.825515999221133
[6 3 2 4 6],0.825515187901603
[6 4 2 4 5],0.825321282533913
[4 4 6 3 2],0.825318037255793
[4 1 6 3 6],0.825314791977672
[4 4 6 6 2],0.825120075290453
[6 5 6 1 2],0.825118452651392
[6 3 3 4 5],0.825115613033037
[4 6 6 1 3],0.825114396053742
[2 1 3 6 1],0.824912377490751
[6 5 6 3 5],0.824718066463296
[4 1 3 1 1],0.824716443824236
[6 1 3 4 2],0.824715632504705
[4 1 1 6 4],0.824715226844941
[6 5 3 3 1],0.82471198156682
[4 6 6 1 4],0.82471198156682
[6 6 3 6 6],0.824709953267995
[6 6 2 6 5],0.82451645356007
[6 3 3 3 4],0.82451320828195
[6 1 1 3 6],0.82451320828195
[6 4 6 6 6],0.82451239696242
[4 6 2 6 1],0.82451158564289
[6 3 2 4 1],0.824511179983125
[6 5 2 1 3],0.824510774323359
[4 6 1 1 1],0.824510368663595
[4 5 2 4 1],0.824508340364769
[4 1 3 3 4],0.824505500746414
[6 1 6 4 5],0.82431849159473
[4 6 6 6 2],0.824313218017784
[6 5 6 1 5],0.824114850392679
[4 6 2 1 5],0.824112416434088
[6 6 1 6 2],0.824112010774323
[6 1 1 6 3],0.824111199454793
[6 5 3 3 3],0.824108765496203
[6 1 6 5 6],0.824108359836438
[6 6 2 4 1],0.824105520218083
[6 4 3 4 6],0.823907963912507
[6 3 3 6 3],0.823907152592977
[5 1 3 6 5],0.823708379308107
[6 4 4 4 1],0.823707973648342
[6 2 2 3 4],0.823705539689751
[4 1 3 1 3],0.823704728370221
[6 5 2 6 3],0.823703511390926
[4 1 3 3 2],0.823702294411631
[6 4 3 1 6],0.823510011683001
[6 5 6 3 2],0.823507577724411
[6 3 6 6 1],0.823506360745116
[5 1 3 3 1],0.823505143765821
[6 6 6 4 6],0.823504332446291
[6 3 6 6 6],0.82350433244629
[6 5 4 6 5],0.823503926786526
[6 4 3 4 2],0.823501898487701
[4 5 6 6 6],0.823308398779775
[6 1 1 3 3],0.823305964821185
[6 6 6 6 4],0.82330555916142
[4 4 2 3 1],0.82330312520283
[4 1 1 3 4],0.82330150256377
[6 3 6 1 2],0.823106380216785
[6 3 2 6 3],0.823106380216785
[6 2 2 1 2],0.823103134938664
[6 5 6 6 3],0.822907201272149
[4 6 2 1 2],0.822903550334264
[6 1 3 5 6],0.822903550334264
[6 1 6 3 3],0.822900710715908
[4 6 2 4 1],0.822898276757318
[4 1 2 4 5],0.822705994028688
[4 1 4 3 1],0.822703965729863
[6 4 2 4 6],0.822700720451743
[6 6 1 1 6],0.822700314791978
[6 5 2 3 3],0.822700314791978
[6 5 4 1 1],0.822693824235737
[6 1 5 3 1],0.822500730187577
[3 1 3 3 1],0.822496673589927
[6 6 6 4 5],0.822303173882002
[6 6 2 1 4],0.822298711624586
