Model,mean_test_score,mean_fit_time,mean_score_time,values,params
SVC,0.6439211917347429,11.554069566726685,0.03477489948272705,"[ 0.67146283  0.70743405  0.68990385  0.64182692  0.61538462  0.64423077
  0.65144231  0.55528846  0.64423077  0.61778846]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.001, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6436809226333493,11.233935737609864,0.0305220365524292,"[ 0.65467626  0.69544365  0.64423077  0.66826923  0.59855769  0.63701923
  0.60336538  0.67788462  0.62259615  0.63461538]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6432003844305623,11.7543701171875,0.033975529670715335,"[ 0.67386091  0.6618705   0.62259615  0.68269231  0.64182692  0.62019231
  0.65144231  0.58894231  0.62019231  0.66826923]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6429601153291686,11.728114533424378,0.0343888521194458,"[ 0.67386091  0.6618705   0.62259615  0.68269231  0.64182692  0.62019231
  0.65144231  0.58653846  0.62019231  0.66826923]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6427198462277751,11.758922910690307,0.03381505012512207,"[ 0.67386091  0.6618705   0.62259615  0.68269231  0.64182692  0.62019231
  0.65144231  0.58413462  0.62019231  0.66826923]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6427198462277751,11.763981080055236,0.033767533302307126,"[ 0.67386091  0.6618705   0.62259615  0.68269231  0.64182692  0.62019231
  0.65144231  0.58413462  0.62019231  0.66826923]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6410379625180201,15.483962631225586,0.04626872539520264,"[ 0.66666667  0.67386091  0.62259615  0.68269231  0.64182692  0.61538462
  0.65144231  0.58653846  0.62740385  0.64182692]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6398366170110524,13.966518926620484,0.03893809318542481,"[ 0.62110312  0.71702638  0.64903846  0.57932692  0.62740385  0.61298077
  0.65144231  0.65144231  0.60817308  0.68028846]","{'C': 1, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6393560788082653,11.882614541053773,0.0352597713470459,"[ 0.6235012   0.71702638  0.63942308  0.59375     0.62740385  0.61298077
  0.64663462  0.64903846  0.60817308  0.67548077]","{'C': 2, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6388755406054781,11.750781702995301,0.0342698335647583,"[ 0.61870504  0.71702638  0.64182692  0.58653846  0.62740385  0.61298077
  0.64663462  0.65144231  0.60576923  0.68028846]","{'C': 50, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6386352715040846,11.695985794067383,0.034348702430725096,"[ 0.62110312  0.71702638  0.63461538  0.58653846  0.62740385  0.61298077
  0.64903846  0.65144231  0.60576923  0.68028846]","{'C': 10, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6386352715040846,11.766779112815858,0.034326577186584474,"[ 0.62110312  0.71702638  0.63461538  0.59615385  0.625       0.61298077
  0.64903846  0.64903846  0.60576923  0.67548077]","{'C': 5, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
SVC,0.6376741950985103,11.742375755310059,0.033945536613464354,"[ 0.61870504  0.71702638  0.64182692  0.59615385  0.62740385  0.61298077
  0.64663462  0.65144231  0.60817308  0.65625   ]","{'C': 100, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 0.01, 'kernel': 'poly', 'max_iter': 100000}"
